{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221615598, 'lon': 'n/a'}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1447, 'x': 222.813, 'y': -2.0, 'z': 169.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.274, 'thr1': -273.15, 'thr2': 32.62, 'thr3': 33.822, 'thr4': 32.079, 'thr5': 35.605, 'cur0': 5.9, 'cur1': 0.1, 'cur2': 7.8, 'cel0': 11.6, 'cel1': 8.6, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 8, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1447, 'x': 222.813, 'y': -2.0, 'z': 169.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.274, 'thr1': -273.15, 'thr2': 32.62, 'thr3': 33.822, 'thr4': 32.079, 'thr5': 35.605, 'cur0': 5.9, 'cur1': 0.1, 'cur2': 7.8, 'cel0': 11.6, 'cel1': 8.6, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 8, 'rot1': 37, 'rot2': 142, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1818, 'x': 222.938, 'y': -2.0, 'z': 169.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.274, 'thr1': -273.15, 'thr2': 32.62, 'thr3': 33.822, 'thr4': 32.079, 'thr5': 35.605, 'cur0': 5.9, 'cur1': 0.1, 'cur2': 7.8, 'cel0': 11.6, 'cel1': 8.6, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 8, 'rot1': 37, 'rot2': 142, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1818, 'x': 222.938, 'y': -1.813, 'z': 173.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.946, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 33.712, 'thr4': 32.62, 'thr5': 35.605, 'cur0': 5.9, 'cur1': 0.1, 'cur2': 7.8, 'cel0': 11.6, 'cel1': 8.6, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 8, 'rot1': 37, 'rot2': 142, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1818, 'x': 222.938, 'y': -1.813, 'z': 173.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.946, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 33.712, 'thr4': 32.62, 'thr5': 35.492, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 7.8, 'cel0': 11.6, 'cel1': 8.6, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 8, 'rot1': 37, 'rot2': 142, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1818, 'x': 222.938, 'y': -1.813, 'z': 173.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.946, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 33.712, 'thr4': 32.62, 'thr5': 35.492, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 4.1, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 8, 'rot1': 37, 'rot2': 142, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1818, 'x': 222.938, 'y': -1.813, 'z': 173.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.946, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 33.712, 'thr4': 32.62, 'thr5': 35.492, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 4.1, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.2, 'cel5': 5.1, 'rot0': 8, 'rot1': 37, 'rot2': 142, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1818, 'x': 222.938, 'y': -1.813, 'z': 173.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.946, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 33.712, 'thr4': 32.62, 'thr5': 35.492, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 4.1, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.2, 'cel5': 5.1, 'rot0': 35, 'rot1': 45, 'rot2': 337, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 2190, 'x': 224.125, 'y': -1.25, 'z': 173.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.946, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 33.712, 'thr4': 32.62, 'thr5': 35.492, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 4.1, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.2, 'cel5': 5.1, 'rot0': 35, 'rot1': 45, 'rot2': 337, 'rot3': 275, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1829}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 2190, 'x': 224.125, 'y': -1.25, 'z': 173.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.164, 'thr1': -273.15, 'thr2': 33.712, 'thr3': 34.154, 'thr4': 32.62, 'thr5': 35.492, 'cur0': 12.5, 'cur1': 0.0, 'cur2': 4.1, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 5.2, 'cel5': 5.1, 'rot0': 35, 'rot1': 45, 'rot2': 337, 'rot3': 275, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1829}
