{'time': 1082, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.3, 'depth': 0.1, 'thr0': 19.521, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 18.93, 'thr4': 18.242, 'thr5': 20.31, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'time': 1446, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.3, 'depth': 0.1, 'thr0': 19.423, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 18.832, 'thr4': 18.144, 'thr5': 20.113, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'time': 1809, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.4, 'depth': 0.1, 'thr0': 19.521, 'thr1': -86.987, 'thr2': 19.423, 'thr3': 18.93, 'thr4': 18.438, 'thr5': 20.508, 'cur0': 10.0, 'cur1': 0.1, 'cur2': 10.5, 'cel0': 0.0, 'cel1': 2.6, 'cel2': 2.8, 'cel3': 3.3, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 128, 'rot1': 135, 'rot2': 291, 'rot3': 208, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1820}
{'time': 2181, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.4, 'depth': 0.1, 'thr0': 19.62, 'thr1': -86.987, 'thr2': 19.521, 'thr3': 18.93, 'thr4': 18.242, 'thr5': 20.31, 'cur0': 7.5, 'cur1': 0.1, 'cur2': 7.9, 'cel0': 0.0, 'cel1': 2.4, 'cel2': 2.7, 'cel3': 3.2, 'cel4': 3.6, 'cel5': 3.8, 'rot0': 175, 'rot1': 216, 'rot2': 401, 'rot3': 327, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2192}
{'time': 2550, 'x': 176.813, 'y': 0.125, 'z': 172.188, 'watertmp': 23.3, 'depth': 0.1, 'thr0': 19.521, 'thr1': -86.987, 'thr2': 19.521, 'thr3': 18.93, 'thr4': 18.34, 'thr5': 20.409, 'cur0': 10.2, 'cur1': 0.2, 'cur2': 10.7, 'cel0': 0.0, 'cel1': 2.6, 'cel2': 2.9, 'cel3': 3.2, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 230, 'rot1': 299, 'rot2': 503, 'rot3': 421, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2562}
{'time': 2923, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.4, 'depth': 0.1, 'thr0': 19.62, 'thr1': -86.987, 'thr2': 19.62, 'thr3': 19.029, 'thr4': 18.34, 'thr5': 20.409, 'cur0': 9.4, 'cur1': 0.2, 'cur2': 11.7, 'cel0': 0.0, 'cel1': 2.8, 'cel2': 3.0, 'cel3': 3.3, 'cel4': 3.7, 'cel5': 3.8, 'rot0': 270, 'rot1': 383, 'rot2': 599, 'rot3': 524, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2935}
{'time': 3296, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.3, 'depth': 0.0, 'thr0': 19.521, 'thr1': -86.987, 'thr2': 19.521, 'thr3': 18.93, 'thr4': 18.242, 'thr5': 20.31, 'cur0': 6.8, 'cur1': 0.2, 'cur2': 7.3, 'cel0': 0.0, 'cel1': 2.5, 'cel2': 2.7, 'cel3': 3.1, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 338, 'rot1': 474, 'rot2': 716, 'rot3': 628, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3307}
{'time': 3666, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.4, 'depth': 0.1, 'thr0': 19.423, 'thr1': -86.987, 'thr2': 19.423, 'thr3': 19.029, 'thr4': 18.34, 'thr5': 20.409, 'cur0': 10.2, 'cur1': 0.1, 'cur2': 10.8, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 2.9, 'cel3': 3.2, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 421, 'rot1': 558, 'rot2': 814, 'rot3': 708, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3678}
{'time': 4038, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.4, 'depth': 0.1, 'thr0': 19.423, 'thr1': -86.987, 'thr2': 19.324, 'thr3': 18.733, 'thr4': 18.045, 'thr5': 20.014, 'cur0': 7.9, 'cur1': 0.2, 'cur2': 10.0, 'cel0': 0.1, 'cel1': 2.8, 'cel2': 2.9, 'cel3': 3.3, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 480, 'rot1': 639, 'rot2': 934, 'rot3': 823, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4049}
{'time': 4409, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.4, 'depth': 0.1, 'thr0': 19.521, 'thr1': -69.149, 'thr2': 19.718, 'thr3': 19.127, 'thr4': 18.242, 'thr5': 20.31, 'cur0': 9.0, 'cur1': 0.1, 'cur2': 9.2, 'cel0': 0.0, 'cel1': 2.6, 'cel2': 2.8, 'cel3': 3.1, 'cel4': 3.4, 'cel5': 3.4, 'rot0': 542, 'rot1': 722, 'rot2': 1024, 'rot3': 950, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4420}
{'time': 4780, 'x': 176.813, 'y': 0.188, 'z': 172.188, 'watertmp': 23.4, 'depth': 0.1, 'thr0': 19.423, 'thr1': -273.15, 'thr2': 19.324, 'thr3': 18.832, 'thr4': 18.242, 'thr5': 20.212, 'cur0': 7.3, 'cur1': 0.1, 'cur2': 7.5, 'cel0': 0.0, 'cel1': 2.5, 'cel2': 2.7, 'cel3': 3.1, 'cel4': 3.5, 'cel5': 3.7, 'rot0': 616, 'rot1': 817, 'rot2': 1118, 'rot3': 1066, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4791}
