{'time': 996, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 5.5, 'cel3': 4.5, 'cel4': 4.8, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1006}
{'time': 1356, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.7, 'cel2': 5.6, 'cel3': 4.5, 'cel4': 4.8, 'cel5': 4.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1367}
{'time': 1718, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.0, 'cur1': 0.1, 'cur2': 1.9, 'cel0': 10.5, 'cel1': 7.2, 'cel2': 5.4, 'cel3': 4.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 7, 'rot1': 61, 'rot2': 46, 'rot3': 30, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1729}
{'time': 2084, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.5, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.7, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 15, 'rot1': 109, 'rot2': 106, 'rot3': 66, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2096}
{'time': 2453, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.5, 'cur1': 0.1, 'cur2': 2.5, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.7, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 27, 'rot1': 153, 'rot2': 147, 'rot3': 106, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2463}
{'time': 2822, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.4, 'cur1': 0.1, 'cur2': 2.4, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 5.8, 'cel3': 4.7, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 39, 'rot1': 193, 'rot2': 212, 'rot3': 156, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2833}
{'time': 3189, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.6, 'cur1': 0.1, 'cur2': 2.4, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 5.8, 'cel3': 4.7, 'cel4': 5.0, 'cel5': 4.6, 'rot0': 51, 'rot1': 237, 'rot2': 258, 'rot3': 205, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3201}
{'time': 3559, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.3, 'cur1': 0.1, 'cur2': 2.4, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 5.8, 'cel3': 4.7, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 62, 'rot1': 278, 'rot2': 314, 'rot3': 247, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3570}
{'time': 3928, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.2, 'cur1': 0.1, 'cur2': 2.2, 'cel0': 11.3, 'cel1': 7.9, 'cel2': 5.8, 'cel3': 4.7, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 72, 'rot1': 321, 'rot2': 363, 'rot3': 288, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3939}
{'time': 4297, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.0, 'cur1': 0.1, 'cur2': 2.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 5.5, 'cel3': 4.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 82, 'rot1': 368, 'rot2': 409, 'rot3': 326, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4308}
{'time': 4666, 'x': 184.75, 'y': -0.313, 'z': 170.938, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.2, 'cel1': 8.0, 'cel2': 5.8, 'cel3': 4.7, 'cel4': 5.0, 'cel5': 4.6, 'rot0': 94, 'rot1': 415, 'rot2': 464, 'rot3': 371, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4677}
