{'time': 1083, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 22.592, 'thr4': 21.3, 'thr5': 21.597, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.8, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1093}
{'time': 1448, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 22.592, 'thr4': 21.201, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.8, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.8, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'time': 1814, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.592, 'thr3': 22.392, 'thr4': 21.102, 'thr5': 21.597, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.8, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 4.8, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
{'time': 2179, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 22.592, 'thr4': 21.201, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2188}
{'time': 2544, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 22.492, 'thr4': 21.3, 'thr5': 21.597, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2554}
{'time': 2908, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.791, 'thr3': 22.592, 'thr4': 21.201, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2918}
{'time': 3274, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 22.492, 'thr4': 21.102, 'thr5': 21.597, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3284}
{'time': 3638, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 22.592, 'thr3': 22.592, 'thr4': 21.003, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.9, 'cel2': 6.4, 'cel3': 5.6, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3648}
{'time': 4004, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 22.492, 'thr4': 21.102, 'thr5': 21.597, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.9, 'cel2': 6.4, 'cel3': 5.6, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4015}
{'time': 4368, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.691, 'thr3': 22.492, 'thr4': 21.201, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.9, 'cel2': 6.4, 'cel3': 5.6, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4378}
{'time': 4734, 'x': 185.563, 'y': -0.375, 'z': 171.813, 'watertmp': 26.3, 'depth': 0.1, 'thr0': 21.201, 'thr1': -273.15, 'thr2': 22.492, 'thr3': 22.492, 'thr4': 21.102, 'thr5': 21.597, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.9, 'cel2': 6.4, 'cel3': 5.6, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4745}
