{'time': 996, 'x': 194.75, 'y': -1.063, 'z': 171.125, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 5.0, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1005}
{'time': 1356, 'x': 194.438, 'y': -1.0, 'z': 171.313, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.7, 'cel3': 4.7, 'cel4': 5.0, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 2, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1366}
{'time': 1718, 'x': 194.313, 'y': -1.0, 'z': 171.25, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 9.0, 'cur1': 0.1, 'cur2': 10.2, 'cel0': 11.0, 'cel1': 8.8, 'cel2': 6.6, 'cel3': 5.5, 'cel4': 5.9, 'cel5': 5.6, 'rot0': 214, 'rot1': 287, 'rot2': 297, 'rot3': 322, 'sys': 2, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1729}
{'time': 2089, 'x': 194.0, 'y': -1.0, 'z': 170.875, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 6.7, 'cur1': 0.1, 'cur2': 6.8, 'cel0': 11.2, 'cel1': 8.2, 'cel2': 6.1, 'cel3': 5.1, 'cel4': 5.5, 'cel5': 5.4, 'rot0': 505, 'rot1': 549, 'rot2': 658, 'rot3': 667, 'sys': 2, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2101}
{'time': 2459, 'x': 193.688, 'y': -1.0, 'z': 170.563, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 8.2, 'cur1': 0.0, 'cur2': 10.0, 'cel0': 11.0, 'cel1': 8.8, 'cel2': 6.6, 'cel3': 5.5, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 828, 'rot1': 830, 'rot2': 1024, 'rot3': 1012, 'sys': 2, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2470}
{'time': 2834, 'x': 193.375, 'y': -0.875, 'z': 170.25, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 7.6, 'cur1': 0.1, 'cur2': 8.1, 'cel0': 11.1, 'cel1': 8.6, 'cel2': 6.5, 'cel3': 5.4, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 1143, 'rot1': 1115, 'rot2': 1370, 'rot3': 1352, 'sys': 2, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2845}
{'time': 3207, 'x': 192.813, 'y': -0.875, 'z': 170.375, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 7.8, 'cur1': 0.0, 'cur2': 7.7, 'cel0': 11.1, 'cel1': 8.6, 'cel2': 6.4, 'cel3': 5.3, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 1434, 'rot1': 1386, 'rot2': 1703, 'rot3': 1707, 'sys': 2, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3219}
{'time': 3582, 'x': 192.375, 'y': -0.875, 'z': 170.5, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 8.1, 'cur1': 0.0, 'cur2': 9.6, 'cel0': 10.9, 'cel1': 8.8, 'cel2': 6.6, 'cel3': 5.5, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 1775, 'rot1': 1657, 'rot2': 2076, 'rot3': 2047, 'sys': 2, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3594}
{'time': 3956, 'x': 191.875, 'y': -0.875, 'z': 170.563, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 8.3, 'cur1': 0.0, 'cur2': 9.7, 'cel0': 10.9, 'cel1': 8.9, 'cel2': 6.6, 'cel3': 5.5, 'cel4': 5.9, 'cel5': 5.5, 'rot0': 2075, 'rot1': 1916, 'rot2': 2448, 'rot3': 2371, 'sys': 2, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3968}
{'time': 4331, 'x': 191.5, 'y': -0.938, 'z': 170.813, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 6.7, 'cur1': 0.1, 'cur2': 7.3, 'cel0': 11.1, 'cel1': 8.5, 'cel2': 6.4, 'cel3': 5.3, 'cel4': 5.6, 'cel5': 5.1, 'rot0': 2408, 'rot1': 2227, 'rot2': 2822, 'rot3': 2712, 'sys': 2, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4343}
{'time': 4705, 'x': 191.188, 'y': -0.938, 'z': 170.813, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 6.4, 'cur1': 0.1, 'cur2': 6.5, 'cel0': 11.3, 'cel1': 8.1, 'cel2': 6.0, 'cel3': 5.1, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 2706, 'rot1': 2515, 'rot2': 3178, 'rot3': 3035, 'sys': 2, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4717}
