{'time': 5092, 'x': 207.25, 'y': 0.063, 'z': 172.688, 'watertmp': 26.9, 'depth': 0.2, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.794, 'thr4': 29.317, 'thr5': 31.007, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 5102}
{'time': 5456, 'x': 208.75, 'y': -6.375, 'z': 171.188, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 28.378, 'thr4': 28.794, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 5467}
{'time': 5823, 'x': 210.125, 'y': -8.75, 'z': 172.188, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 27.654, 'thr4': 27.964, 'thr5': 29.632, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 5832}
{'time': 6187, 'x': 210.875, 'y': -5.0, 'z': 172.063, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.482, 'thr4': 28.794, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 6197}
{'time': 6553, 'x': 210.063, 'y': -1.813, 'z': 170.938, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 28.171, 'thr4': 28.586, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 6562}
{'time': 6917, 'x': 211.313, 'y': -2.688, 'z': 169.125, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 28.482, 'thr4': 28.899, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 6926}
{'time': 7281, 'x': 212.563, 'y': -5.938, 'z': 169.25, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.861, 'thr4': 28.275, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 7291}
{'time': 7647, 'x': 213.5, 'y': -7.375, 'z': 170.938, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 28.794, 'thr4': 29.317, 'thr5': 31.114, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 7656}
{'time': 8013, 'x': 212.625, 'y': -7.313, 'z': 168.625, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 27.964, 'thr4': 28.378, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8023}
{'time': 8377, 'x': 208.375, 'y': -4.438, 'z': 171.875, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 28.067, 'thr4': 28.482, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8386}
{'time': 8741, 'x': 202.375, 'y': -4.313, 'z': 170.438, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 28.171, 'thr4': 28.482, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8752}
{'time': 9107, 'x': 199.063, 'y': -6.063, 'z': 168.0, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 28.275, 'thr4': 28.69, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 9116}
{'time': 9474, 'x': 194.063, 'y': -10.0, 'z': 167.875, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.964, 'thr4': 28.378, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 9483}
{'time': 9838, 'x': 189.063, 'y': -9.188, 'z': 169.188, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 28.378, 'thr4': 28.586, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 9847}
{'time': 10204, 'x': 186.438, 'y': -4.688, 'z': 171.625, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.964, 'thr4': 28.482, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 10214}
{'time': 10571, 'x': 185.938, 'y': -3.813, 'z': 169.75, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 28.275, 'thr4': 28.69, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 10582}
{'time': 10937, 'x': 183.313, 'y': -4.438, 'z': 168.625, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 27.551, 'thr4': 28.067, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 10947}
{'time': 11304, 'x': 184.938, 'y': -3.563, 'z': 171.438, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.586, 'thr4': 29.003, 'thr5': 30.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 11314}
