{'time': 996, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 8.1, 'cel2': 5.9, 'cel3': 4.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1006}
{'time': 1357, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 8.1, 'cel2': 6.0, 'cel3': 4.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1367}
{'time': 1718, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.1, 'cur1': 0.0, 'cur2': 2.1, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.1, 'cel3': 4.8, 'cel4': 5.4, 'cel5': 5.2, 'rot0': 5, 'rot1': 41, 'rot2': 35, 'rot3': 41, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1729}
{'time': 2084, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.5, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.1, 'cel3': 4.9, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 14, 'rot1': 81, 'rot2': 97, 'rot3': 79, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2096}
{'time': 2449, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 4.9, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 22, 'rot1': 124, 'rot2': 145, 'rot3': 123, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2460}
{'time': 2819, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.3, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.1, 'cel3': 4.9, 'cel4': 5.4, 'cel5': 5.2, 'rot0': 31, 'rot1': 163, 'rot2': 208, 'rot3': 164, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2830}
{'time': 3188, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.1, 'cur1': 0.0, 'cur2': 2.1, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.1, 'cel3': 4.9, 'cel4': 5.4, 'cel5': 5.2, 'rot0': 41, 'rot1': 202, 'rot2': 267, 'rot3': 205, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3200}
{'time': 3558, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.0, 'cur1': 0.0, 'cur2': 2.0, 'cel0': 11.4, 'cel1': 8.0, 'cel2': 5.9, 'cel3': 4.8, 'cel4': 5.4, 'cel5': 5.2, 'rot0': 48, 'rot1': 241, 'rot2': 322, 'rot3': 241, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3569}
{'time': 3928, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 1.9, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 4.9, 'cel4': 5.4, 'cel5': 5.2, 'rot0': 55, 'rot1': 277, 'rot2': 385, 'rot3': 285, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3938}
{'time': 4297, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.7, 'cur1': 0.0, 'cur2': 2.7, 'cel0': 11.3, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 4.9, 'cel4': 5.4, 'cel5': 5.2, 'rot0': 62, 'rot1': 318, 'rot2': 444, 'rot3': 320, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4308}
{'time': 4666, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 11.3, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 5.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 70, 'rot1': 352, 'rot2': 500, 'rot3': 364, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4677}
{'time': 5036, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.5, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 5.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 79, 'rot1': 394, 'rot2': 559, 'rot3': 404, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 5046}
{'time': 5404, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.3, 'cur1': 0.0, 'cur2': 2.4, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 5.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 96, 'rot1': 437, 'rot2': 619, 'rot3': 452, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 5415}
{'time': 5773, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.4, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 5.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 105, 'rot1': 474, 'rot2': 692, 'rot3': 497, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 5784}
{'time': 6142, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.2, 'cur1': 0.0, 'cur2': 2.2, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 4.9, 'cel4': 5.4, 'cel5': 5.2, 'rot0': 111, 'rot1': 517, 'rot2': 746, 'rot3': 533, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 6154}
{'time': 6514, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.7, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 5.0, 'cel4': 5.5, 'cel5': 5.3, 'rot0': 119, 'rot1': 552, 'rot2': 801, 'rot3': 575, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 6524}
{'time': 6884, 'x': 183.688, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.3, 'cur1': 0.0, 'cur2': 2.4, 'cel0': 11.4, 'cel1': 8.3, 'cel2': 6.2, 'cel3': 5.0, 'cel4': 5.5, 'cel5': 5.2, 'rot0': 127, 'rot1': 597, 'rot2': 869, 'rot3': 620, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 6895}
