{'time': 5081, 'x': 175.375, 'y': 0.188, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.895, 'thr4': 21.696, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5091}
{'time': 5445, 'x': 175.25, 'y': 0.75, 'z': 174.188, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5455}
{'time': 5808, 'x': 175.063, 'y': 0.813, 'z': 174.125, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 22.094, 'thr4': 21.895, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5817}
{'time': 6170, 'x': 174.875, 'y': 1.125, 'z': 173.5, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.094, 'thr4': 21.895, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6179}
{'time': 6533, 'x': 174.625, 'y': 1.25, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6543}
{'time': 6896, 'x': 174.313, 'y': 1.063, 'z': 174.813, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 21.994, 'thr4': 21.696, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6906}
{'time': 7259, 'x': 173.813, 'y': 3.438, 'z': 175.813, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.094, 'thr4': 21.895, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 7269}
{'time': 7622, 'x': 173.25, 'y': 4.688, 'z': 176.313, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 7631}
{'time': 7985, 'x': 172.688, 'y': 5.063, 'z': 175.5, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 7995}
{'time': 8347, 'x': 172.125, 'y': 5.375, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.895, 'thr5': 22.691, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 8357}
