{'time': 996, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.5, 'cel3': 4.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1005}
{'time': 1356, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 5.5, 'cel3': 4.4, 'cel4': 5.1, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1366}
{'time': 1718, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.3, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.3, 'cel5': 4.8, 'rot0': 9, 'rot1': 36, 'rot2': 25, 'rot3': 29, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1728}
{'time': 2084, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.2, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.3, 'cel5': 4.9, 'rot0': 17, 'rot1': 81, 'rot2': 71, 'rot3': 67, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2095}
{'time': 2449, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.7, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 11.2, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.3, 'cel5': 4.8, 'rot0': 23, 'rot1': 127, 'rot2': 112, 'rot3': 114, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2460}
{'time': 2818, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.5, 'cel0': 11.2, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.3, 'cel5': 4.8, 'rot0': 30, 'rot1': 164, 'rot2': 163, 'rot3': 159, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2829}
{'time': 3187, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.3, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.3, 'cel5': 4.8, 'rot0': 42, 'rot1': 202, 'rot2': 198, 'rot3': 196, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3198}
{'time': 3556, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.0, 'cur1': 0.0, 'cur2': 2.1, 'cel0': 11.3, 'cel1': 7.8, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.2, 'cel5': 4.7, 'rot0': 51, 'rot1': 240, 'rot2': 246, 'rot3': 243, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3567}
{'time': 3926, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 1.9, 'cur1': 0.0, 'cur2': 2.0, 'cel0': 11.0, 'cel1': 7.8, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.3, 'cel5': 4.9, 'rot0': 61, 'rot1': 290, 'rot2': 286, 'rot3': 281, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3937}
{'time': 4295, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.8, 'cur1': 0.0, 'cur2': 2.7, 'cel0': 11.2, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.3, 'cel5': 4.9, 'rot0': 69, 'rot1': 334, 'rot2': 336, 'rot3': 329, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4306}
{'time': 4665, 'x': 183.563, 'y': -0.25, 'z': 171.063, 'watertmp': 0.0, 'depth': -10.0, 'thr0': 25.0, 'thr1': 0.0, 'thr2': 25.0, 'thr3': 25.0, 'thr4': 25.0, 'thr5': 25.0, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.4, 'cel0': 11.2, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.6, 'cel4': 5.3, 'cel5': 4.8, 'rot0': 77, 'rot1': 375, 'rot2': 372, 'rot3': 376, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4676}
