{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.849, 'thr4': 17.652, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909, 'd_dev': 1.0, 'd_mov': 0.546, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 899, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.849, 'thr4': 17.652, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909, 'd_dev': 1.0, 'd_mov': 0.552, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.161, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.849, 'thr4': 17.652, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909, 'd_dev': 1.0, 'd_mov': 0.558, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.554, 'thr4': 17.456, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909, 'd_dev': 1.0, 'd_mov': 0.561, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.554, 'thr4': 17.456, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909, 'd_dev': 1.0, 'd_mov': 0.561, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.554, 'thr4': 17.456, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909, 'd_dev': 1.0, 'd_mov': 0.561, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.554, 'thr4': 17.456, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990, 'd_dev': 1.0, 'd_mov': 0.5640000000000001, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.554, 'thr4': 17.456, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990, 'd_dev': 1.0, 'd_mov': 0.5670000000000001, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.554, 'thr4': 17.456, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990, 'd_dev': 1.0, 'd_mov': 0.5790000000000001, 'd_goal': 1.0, 'd_now_dep': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1061, 'x': 185.375, 'y': -0.313, 'z': 173.0, 'watertmp': 22.4, 'depth': 0.0, 'thr0': 17.554, 'thr1': -273.15, 'thr2': 17.652, 'thr3': 17.554, 'thr4': 17.456, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990, 'd_dev': 1.0, 'd_mov': 0.5850000000000001, 'd_goal': 1.0, 'd_now_dep': 0.0}
