{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221455064, 'lon': 127.667942328}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 1812, 'x': 286.125, 'y': -1.938, 'z': 178.938, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 27.964, 'thr5': 28.275, 'cur0': 4.7, 'cur1': 0.1, 'cur2': 4.6, 'cel0': 6.3, 'cel1': 5.1, 'cel2': 4.4, 'cel3': 4.3, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 8, 'rot1': 12, 'rot2': 7, 'rot3': 8, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -1.938, 'z': 178.938, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 27.964, 'thr5': 28.275, 'cur0': 4.7, 'cur1': 0.1, 'cur2': 4.6, 'cel0': 6.3, 'cel1': 5.1, 'cel2': 4.4, 'cel3': 4.3, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 8, 'rot1': 12, 'rot2': 7, 'rot3': 8, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 27.964, 'thr5': 28.275, 'cur0': 4.7, 'cur1': 0.1, 'cur2': 4.6, 'cel0': 6.3, 'cel1': 5.1, 'cel2': 4.4, 'cel3': 4.3, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 8, 'rot1': 12, 'rot2': 7, 'rot3': 8, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 27.964, 'thr5': 28.275, 'cur0': 4.7, 'cur1': 0.1, 'cur2': 4.6, 'cel0': 6.3, 'cel1': 5.1, 'cel2': 4.4, 'cel3': 4.3, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 8, 'rot1': 12, 'rot2': 7, 'rot3': 8, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 4.6, 'cel0': 6.3, 'cel1': 5.1, 'cel2': 4.4, 'cel3': 4.3, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 8, 'rot1': 12, 'rot2': 7, 'rot3': 8, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.4, 'cel3': 4.3, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 8, 'rot1': 12, 'rot2': 7, 'rot3': 8, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 4.0, 'cel5': 3.9, 'rot0': 8, 'rot1': 12, 'rot2': 7, 'rot3': 8, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 12, 'rot2': 7, 'rot3': 8, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2178, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
