{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 5087, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 22.293, 'thr4': 22.094, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5096}
{'lat': 'n/a', 'lon': 'n/a', 'time': 5449, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 22.392, 'thr4': 21.994, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5096}
{'lat': 'n/a', 'lon': 'n/a', 'time': 5449, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 22.392, 'thr4': 21.994, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5459}
{'lat': 'n/a', 'lon': 'n/a', 'time': 5815, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.392, 'thr4': 22.094, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5459}
{'lat': 'n/a', 'lon': 'n/a', 'time': 5815, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.392, 'thr4': 22.094, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5459}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6177, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.492, 'thr3': 22.592, 'thr4': 22.193, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5825}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6543, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.592, 'thr4': 22.094, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6552}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6906, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.592, 'thr4': 22.094, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6552}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6906, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 22.392, 'thr4': 22.094, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6552}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6906, 'x': 189.813, 'y': -0.625, 'z': 172.375, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 22.392, 'thr4': 22.193, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6917}
