{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12010, 'x': 0.0, 'y': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12182, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.474, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.376, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7935, 'rot5': 3004, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12106}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12182, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.474, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.376, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7935, 'rot5': 3004, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12193}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12269, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.082, 'thr1': -273.15, 'thr2': 15.983, 'thr3': 16.082, 'thr4': 15.689, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7935, 'rot5': 3004, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12193}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12269, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.082, 'thr1': -273.15, 'thr2': 15.983, 'thr3': 16.082, 'thr4': 15.689, 'thr5': 15.983, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 7935, 'rot5': 3004, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12193}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12269, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.082, 'thr1': -273.15, 'thr2': 15.983, 'thr3': 16.082, 'thr4': 15.689, 'thr5': 15.983, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8206, 'rot5': 3086, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12281}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12356, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.082, 'thr1': -273.15, 'thr2': 15.983, 'thr3': 16.082, 'thr4': 15.689, 'thr5': 15.983, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8206, 'rot5': 3086, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12281}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12356, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.376, 'thr1': -273.15, 'thr2': 15.983, 'thr3': 16.082, 'thr4': 15.689, 'thr5': 15.983, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8206, 'rot5': 3086, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12281}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12356, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.376, 'thr1': -273.15, 'thr2': 16.278, 'thr3': 16.376, 'thr4': 15.689, 'thr5': 15.983, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8206, 'rot5': 3086, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12281}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12356, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.376, 'thr1': -273.15, 'thr2': 16.278, 'thr3': 16.376, 'thr4': 15.983, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.4, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8206, 'rot5': 3086, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12281}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12356, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.376, 'thr1': -273.15, 'thr2': 16.278, 'thr3': 16.376, 'thr4': 15.983, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.4, 'cel4': 2.7, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8206, 'rot5': 3086, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12281}
