{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 12.836, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2166, 'rot5': 661, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1009}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 12.836, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2437, 'rot5': 741, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1009}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1170, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.836, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 12.836, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2437, 'rot5': 741, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1095}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1170, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.638, 'thr5': 12.836, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2437, 'rot5': 741, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1095}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1170, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.737, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2437, 'rot5': 741, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1095}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1170, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.737, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2437, 'rot5': 741, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1095}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1170, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.737, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2708, 'rot5': 825, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1182}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1258, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.033, 'thr4': 12.737, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2708, 'rot5': 825, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1182}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1258, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.539, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 13.033, 'thr4': 12.737, 'thr5': 13.033, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2708, 'rot5': 825, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1182}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1258, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.539, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.737, 'thr4': 12.539, 'thr5': 12.638, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2708, 'rot5': 825, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1182}
