{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2180, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.34, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.93, 'thr4': 18.733, 'thr5': 18.34, 'cur0': 2.8, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.1, 'cel1': 7.6, 'cel2': 6.5, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 8, 'rot1': 10, 'rot2': 130, 'rot3': 134, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2180, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.34, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.93, 'thr4': 18.733, 'thr5': 18.045, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 24, 'rot1': 34, 'rot2': 318, 'rot3': 320, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2549, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.34, 'thr1': -273.15, 'thr2': 18.537, 'thr3': 18.93, 'thr4': 18.733, 'thr5': 18.045, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 24, 'rot1': 34, 'rot2': 318, 'rot3': 320, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2549, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.438, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 19.029, 'thr4': 18.832, 'thr5': 18.045, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 24, 'rot1': 34, 'rot2': 318, 'rot3': 320, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2549, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.438, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 19.029, 'thr4': 18.832, 'thr5': 18.242, 'cur0': 2.6, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 24, 'rot1': 34, 'rot2': 318, 'rot3': 320, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2549, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.438, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 19.029, 'thr4': 18.832, 'thr5': 18.242, 'cur0': 2.6, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 11.2, 'cel1': 7.9, 'cel2': 6.6, 'cel3': 6.0, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 41, 'rot1': 206, 'rot2': 318, 'rot3': 320, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2549, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.438, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 19.029, 'thr4': 18.832, 'thr5': 18.242, 'cur0': 2.6, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 11.2, 'cel1': 7.9, 'cel2': 6.6, 'cel3': 6.0, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 41, 'rot1': 206, 'rot2': 495, 'rot3': 379, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2921, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.93, 'thr4': 18.93, 'thr5': 18.34, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 41, 'rot1': 206, 'rot2': 495, 'rot3': 379, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2561}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2921, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.93, 'thr4': 18.93, 'thr5': 18.34, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 59, 'rot1': 393, 'rot2': 495, 'rot3': 379, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2561}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2921, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.93, 'thr4': 18.93, 'thr5': 18.34, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 59, 'rot1': 393, 'rot2': 689, 'rot3': 400, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2561}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2921, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.93, 'thr4': 18.93, 'thr5': 18.34, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 59, 'rot1': 393, 'rot2': 689, 'rot3': 400, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2932}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3294, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.93, 'thr4': 18.93, 'thr5': 18.34, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 59, 'rot1': 393, 'rot2': 689, 'rot3': 400, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2932}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3294, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.438, 'thr4': 18.635, 'thr5': 17.554, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.8, 'cel0': 11.3, 'cel1': 7.7, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 59, 'rot1': 393, 'rot2': 689, 'rot3': 400, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2932}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3294, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.438, 'thr4': 18.635, 'thr5': 17.554, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.7, 'cel0': 10.8, 'cel1': 7.7, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 59, 'rot1': 393, 'rot2': 689, 'rot3': 400, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2932}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3294, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.438, 'thr4': 18.635, 'thr5': 17.554, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.7, 'cel0': 10.8, 'cel1': 8.0, 'cel2': 6.7, 'cel3': 6.0, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 59, 'rot1': 393, 'rot2': 689, 'rot3': 400, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2932}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3294, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.438, 'thr4': 18.635, 'thr5': 17.554, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.7, 'cel0': 10.8, 'cel1': 8.0, 'cel2': 6.7, 'cel3': 6.0, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 76, 'rot1': 580, 'rot2': 689, 'rot3': 400, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2932}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3294, 'x': 179.625, 'y': 0.0, 'z': 172.0, 'watertmp': 25.7, 'depth': 0.0, 'thr0': 17.947, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.438, 'thr4': 18.635, 'thr5': 17.554, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.7, 'cel0': 10.8, 'cel1': 8.0, 'cel2': 6.7, 'cel3': 6.0, 'cel4': 5.4, 'cel5': 5.1, 'rot0': 76, 'rot1': 580, 'rot2': 866, 'rot3': 423, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2932}
