{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1000}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.045, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1000}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.045, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1000}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.045, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1156, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.242, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.045, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1156, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.438, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.045, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1156, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.438, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1156, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.438, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1156, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.1, 'depth': -0.0, 'thr0': 18.438, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1165}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1239, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.34, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.537, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1165}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1239, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.34, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.34, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1165}
